               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.025054,           0.0086823,           0.0048772,              0.9809,                   1,               0.995,             0.94696,            0.010285,           0.0030134,           0.0022945,            0.004654,            0.004654,            0.004654
                  83,             0.02121,           0.0074836,           0.0065919,             0.98138,                   1,               0.995,             0.84709,            0.013461,           0.0035491,           0.0025806,            0.004588,            0.004588,            0.004588
                  84,            0.023101,           0.0081251,           0.0075198,             0.98121,                   1,               0.995,             0.89892,            0.013844,           0.0033121,           0.0014894,            0.004522,            0.004522,            0.004522
                  85,            0.022512,           0.0081998,            0.005582,             0.98109,                   1,               0.995,              0.9035,           0.0079916,           0.0029736,           0.0014048,            0.004456,            0.004456,            0.004456
                  86,            0.022434,           0.0081694,           0.0059912,             0.98136,                   1,               0.995,             0.94755,           0.0099004,             0.00296,           0.0018991,             0.00439,             0.00439,             0.00439
                  87,            0.020813,           0.0081964,            0.007243,              0.9812,                   1,               0.995,              0.9001,            0.012361,           0.0034301,           0.0019758,            0.004324,            0.004324,            0.004324
                  88,            0.022616,           0.0090625,           0.0059159,             0.98122,                   1,               0.995,             0.90138,           0.0085122,           0.0028458,            0.001716,            0.004258,            0.004258,            0.004258
                  89,            0.019631,           0.0078052,           0.0045271,             0.98126,                   1,               0.995,             0.84869,            0.014309,           0.0037327,           0.0027105,            0.004192,            0.004192,            0.004192
                  90,            0.022805,            0.007416,           0.0049219,              0.9814,                   1,               0.995,              0.9035,            0.010134,           0.0034871,           0.0030716,            0.004126,            0.004126,            0.004126
                  91,            0.019764,           0.0079336,           0.0054616,             0.98181,                   1,               0.995,             0.85188,           0.0083975,           0.0037868,           0.0040031,             0.00406,             0.00406,             0.00406
                  92,            0.021604,           0.0077419,           0.0057003,             0.98126,                   1,               0.995,             0.94864,           0.0078733,            0.003984,           0.0018282,            0.003994,            0.003994,            0.003994
                  93,            0.022541,           0.0076625,            0.004355,             0.98116,                   1,               0.995,             0.94819,           0.0092519,           0.0035317,           0.0014133,            0.003928,            0.003928,            0.003928
                  94,            0.022578,            0.008877,           0.0042121,               0.981,                   1,               0.995,             0.94864,           0.0089449,           0.0034957,           0.0015833,            0.003862,            0.003862,            0.003862
                  95,            0.018389,           0.0067948,           0.0047638,              0.9804,                   1,               0.995,             0.84975,            0.011163,            0.003731,           0.0018631,            0.003796,            0.003796,            0.003796
                  96,             0.02007,           0.0073549,            0.006195,             0.98069,                   1,               0.995,              0.9035,            0.012276,           0.0036697,           0.0018236,             0.00373,             0.00373,             0.00373
                  97,            0.019522,           0.0075318,           0.0051502,             0.98125,                   1,               0.995,              0.9501,           0.0097628,           0.0035036,           0.0012102,            0.003664,            0.003664,            0.003664
                  98,            0.022534,           0.0073465,           0.0055299,             0.98168,                   1,               0.995,             0.90775,           0.0092255,           0.0037172,           0.0011567,            0.003598,            0.003598,            0.003598
                  99,            0.020996,           0.0072013,           0.0050036,             0.98147,                   1,               0.995,             0.90775,           0.0091543,           0.0034888,           0.0011518,            0.003532,            0.003532,            0.003532
                 100,             0.01985,           0.0076789,           0.0051185,             0.98119,                   1,               0.995,              0.8955,           0.0072535,           0.0031555,           0.0017847,            0.003466,            0.003466,            0.003466
                 101,            0.017685,           0.0074536,           0.0043146,             0.98131,                   1,               0.995,             0.94925,           0.0067996,           0.0026858,           0.0012669,              0.0034,              0.0034,              0.0034
                 102,            0.018629,           0.0078571,           0.0048228,             0.98132,                   1,               0.995,              0.8955,           0.0089671,           0.0028777,           0.0010772,            0.003334,            0.003334,            0.003334
                 103,            0.019176,           0.0073925,           0.0046769,             0.98107,                   1,               0.995,              0.9052,           0.0081549,           0.0030179,             0.00102,            0.003268,            0.003268,            0.003268
                 104,            0.018197,           0.0076469,           0.0059831,             0.98164,                   1,               0.995,              0.8955,            0.011088,           0.0035727,           0.0011224,            0.003202,            0.003202,            0.003202
                 105,            0.019749,            0.007728,           0.0066598,             0.98123,                   1,               0.995,              0.8955,            0.011947,           0.0035756,           0.0014179,            0.003136,            0.003136,            0.003136
                 106,            0.020029,           0.0077719,           0.0049649,             0.98203,                   1,               0.995,              0.8506,           0.0098128,           0.0033205,           0.0032799,             0.00307,             0.00307,             0.00307
                 107,             0.01817,           0.0070816,            0.004457,             0.98166,                   1,               0.995,              0.8955,            0.011054,           0.0032272,           0.0021595,            0.003004,            0.003004,            0.003004
                 108,            0.020866,           0.0071127,            0.004355,             0.98174,                   1,               0.995,              0.8955,            0.010453,           0.0030489,           0.0013939,            0.002938,            0.002938,            0.002938
                 109,            0.019249,           0.0076996,           0.0059428,             0.98165,                   1,               0.995,             0.90775,           0.0091761,           0.0029497,           0.0014551,            0.002872,            0.002872,            0.002872
                 110,            0.017641,           0.0073281,             0.00377,             0.98187,                   1,               0.995,              0.8955,           0.0096491,           0.0029898,           0.0011882,            0.002806,            0.002806,            0.002806
                 111,            0.018177,           0.0075333,           0.0037151,             0.98189,                   1,               0.995,              0.8955,           0.0085187,            0.003005,           0.0010872,             0.00274,             0.00274,             0.00274
                 112,            0.016794,           0.0065831,           0.0047771,             0.98222,                   1,               0.995,             0.90775,           0.0089172,           0.0034466,           0.0013355,            0.002674,            0.002674,            0.002674
                 113,            0.016522,           0.0066928,            0.003443,              0.9831,                   1,               0.995,             0.90775,            0.010961,           0.0046434,           0.0054657,            0.002608,            0.002608,            0.002608
                 114,            0.017793,           0.0068646,           0.0050745,              0.9832,                   1,               0.995,             0.90775,            0.013046,            0.005106,           0.0055286,            0.002542,            0.002542,            0.002542
                 115,            0.016229,           0.0068532,           0.0043865,             0.98294,                   1,               0.995,              0.8955,           0.0096779,           0.0043993,           0.0036873,            0.002476,            0.002476,            0.002476
                 116,            0.015597,           0.0065624,           0.0047237,             0.98239,                   1,               0.995,               0.854,            0.009724,           0.0044651,           0.0020388,             0.00241,             0.00241,             0.00241
                 117,            0.017081,              0.0064,           0.0031023,             0.98224,                   1,               0.995,               0.854,            0.012029,           0.0046196,           0.0014317,            0.002344,            0.002344,            0.002344
                 118,            0.015794,           0.0066178,           0.0036652,                   1,                   1,               0.995,             0.85825,            0.011875,           0.0047684,           0.0011805,            0.002278,            0.002278,            0.002278
                 119,            0.016213,           0.0069401,           0.0035438,                   1,                   1,               0.995,             0.85825,           0.0093345,           0.0044861,           0.0011979,            0.002212,            0.002212,            0.002212
                 120,            0.017796,           0.0071327,           0.0054146,             0.98236,                   1,               0.995,               0.912,            0.010348,           0.0041142,           0.0014969,            0.002146,            0.002146,            0.002146
                 121,             0.01576,           0.0066706,           0.0051365,             0.98211,                   1,               0.995,               0.854,           0.0088313,           0.0037079,           0.0013573,             0.00208,             0.00208,             0.00208
                 122,            0.015198,           0.0064445,           0.0023983,             0.98252,                   1,               0.995,               0.912,             0.01072,           0.0036793,             0.00126,            0.002014,            0.002014,            0.002014
                 123,            0.016322,           0.0065645,           0.0035311,              0.9824,                   1,               0.995,               0.912,           0.0099522,           0.0035276,           0.0012179,            0.001948,            0.001948,            0.001948
                 124,            0.014864,            0.006499,           0.0045636,             0.98237,                   1,               0.995,               0.912,            0.010145,           0.0035257,            0.001474,            0.001882,            0.001882,            0.001882
                 125,            0.017221,           0.0060069,           0.0038785,             0.98245,                   1,               0.995,               0.912,            0.010324,           0.0034943,           0.0018122,            0.001816,            0.001816,            0.001816
                 126,            0.014836,           0.0066027,           0.0025113,             0.98251,                   1,               0.995,              0.9535,           0.0085236,           0.0032253,           0.0013312,             0.00175,             0.00175,             0.00175
                 127,            0.014247,           0.0064389,           0.0044384,             0.98244,                   1,               0.995,               0.912,           0.0072201,           0.0030699,           0.0011158,            0.001684,            0.001684,            0.001684
                 128,            0.016006,           0.0057866,           0.0030102,             0.98259,                   1,               0.995,               0.912,            0.009083,            0.003314,          0.00092669,            0.001618,            0.001618,            0.001618
                 129,            0.015284,           0.0062564,           0.0022679,             0.98238,                   1,               0.995,             0.95137,           0.0074046,           0.0030375,           0.0009985,            0.001552,            0.001552,            0.001552
                 130,            0.015449,           0.0066117,           0.0030522,             0.98235,                   1,               0.995,             0.90775,           0.0074182,           0.0031567,          0.00092812,            0.001486,            0.001486,            0.001486
                 131,            0.015566,           0.0076533,           0.0041676,             0.98226,                   1,               0.995,             0.90775,           0.0083476,           0.0033808,          0.00083399,             0.00142,             0.00142,             0.00142
                 132,            0.014661,           0.0061857,           0.0049408,             0.98219,                   1,               0.995,             0.90775,           0.0088074,           0.0035553,          0.00087719,            0.001354,            0.001354,            0.001354
                 133,            0.015184,           0.0063307,           0.0039161,             0.98227,                   1,               0.995,             0.90775,             0.01004,           0.0037556,          0.00094528,            0.001288,            0.001288,            0.001288
                 134,            0.014768,           0.0069775,           0.0033867,              0.9822,                   1,               0.995,             0.90775,            0.010232,           0.0038738,           0.0011481,            0.001222,            0.001222,            0.001222
                 135,            0.013947,           0.0063442,             0.00239,              0.9823,                   1,               0.995,             0.90775,           0.0096024,           0.0038137,           0.0012875,            0.001156,            0.001156,            0.001156
                 136,            0.014273,           0.0063827,           0.0032371,             0.98248,                   1,               0.995,             0.90775,           0.0091516,           0.0036745,           0.0014534,             0.00109,             0.00109,             0.00109
                 137,            0.014445,           0.0064299,           0.0038201,             0.98231,                   1,               0.995,             0.90775,           0.0093923,           0.0036564,           0.0015512,            0.001024,            0.001024,            0.001024
                 138,            0.012242,           0.0061807,           0.0022582,             0.98235,                   1,               0.995,             0.90775,           0.0090765,           0.0034571,            0.001581,            0.000958,            0.000958,            0.000958
                 139,            0.014742,           0.0058327,           0.0025059,             0.98263,                   1,               0.995,             0.90775,           0.0087535,           0.0033102,           0.0016188,            0.000892,            0.000892,            0.000892
                 140,            0.012318,           0.0065625,           0.0024643,             0.98239,                   1,               0.995,             0.90775,           0.0087054,           0.0032654,           0.0016102,            0.000826,            0.000826,            0.000826
                 141,            0.011778,           0.0062293,           0.0022604,              0.9825,                   1,               0.995,             0.90775,           0.0087047,             0.00319,           0.0016668,             0.00076,             0.00076,             0.00076
                 142,            0.013605,           0.0061726,           0.0032325,             0.98272,                   1,               0.995,             0.90775,           0.0087063,           0.0029888,           0.0017612,            0.000694,            0.000694,            0.000694
                 143,            0.014097,           0.0063186,            0.001992,             0.98255,                   1,               0.995,             0.95137,           0.0081918,           0.0028391,           0.0016634,            0.000628,            0.000628,            0.000628
                 144,             0.01445,            0.005803,            0.004594,             0.98261,                   1,               0.995,               0.912,           0.0087071,            0.002923,           0.0017069,            0.000562,            0.000562,            0.000562
                 145,            0.011039,           0.0056666,           0.0019711,              0.9825,                   1,               0.995,             0.95137,             0.00803,           0.0028076,           0.0016554,            0.000496,            0.000496,            0.000496
                 146,            0.013341,           0.0067448,           0.0036569,             0.98256,                   1,               0.995,             0.95137,           0.0080056,           0.0028181,           0.0014986,             0.00043,             0.00043,             0.00043
                 147,            0.013012,           0.0058962,           0.0032124,             0.98277,                   1,               0.995,             0.90775,           0.0078933,            0.002861,           0.0015524,            0.000364,            0.000364,            0.000364
                 148,            0.012662,           0.0057768,            0.004018,             0.98261,                   1,               0.995,             0.90775,           0.0083972,           0.0028887,           0.0015747,            0.000298,            0.000298,            0.000298
                 149,            0.012042,            0.006719,           0.0026531,             0.98246,                   1,               0.995,             0.90775,           0.0080195,           0.0028896,           0.0013704,            0.000232,            0.000232,            0.000232
